№;дата ;час;текст пов?домлень;м?тка;Pos1/Repos1;Автор/Group;Джерело;Мова;Like;Поширення;веб-адреса;;;;;;;;;;;;;
1;12.09.2024;19:29;Поляки дают взятки директорам школ, чтобы их дети не учились в смешанных классах с украинскими детьми, ведь из-за огромного количества беженцев в Польше многие классы стали совместными. ;0;Pos1;Кот Костян - официальный канал;1elegram;Russian;5000;23;h11ps://1.me/ko1real/35137;;;;;;;;;;;;;
2;11.09.2024;11:12;С утра поступают приятные новости с фронтов. Хохол уверенно опиздюливается на Курщине и Донбассе. ;0;Pos1;Аким Апачев ??;1elegram;Russian;1600;0;h11ps://1.me/akimapachev/7067;;;;;;;;;;;;;
3;12.09.2024;20:15;Зеленский сейчас звонит по всем западными столицам и доказывает всем, что у Москвы нет никаких красных линий и не надо боятся Путина и Путин слабый и он побоится использовать жесткие методы в ответ. И призывает бить и бить Россию как можно сильнее.;0;Pos1;Логика Маркова;1elegram;Russian;1000;0;h11ps://1.me/logikamarkova/13952;;;;;;;;;;;;;
4;11.09.2024;21:54;"Сюда идёт русский!  Испуганно говорят друг другу украинские как бы волонтёры (с шевронами ВСУ), когда они приехали из Покровска в Украинск и наткнулись там на российского солдата. Но русский солдат это не украинский. Русский солдат это синоним не только мужества, но и гуманизма и простой человечности. Поэтому вместо взятия их в заложники, он просто их отпустил со словами ""людей тогда быстро грузим и съебываем отсюда быстрее"". Те долго не могли поверить своему счастью. Ведь знают, что украинский солдат их или пристрелил бы или взял в заложники. ";0;Pos1;Логика Маркова;1elegram;Russian;950;0;h11ps://1.me/logikamarkova/13938;;;;;;;;;;;;;
5;13.09.2024;18:26;По ВСУ пошла волна чисток и шпиономании, которая резко усилилась после ракетных ударов по расположениям, командным пунктам и учебным центрам. Отстранение Гладкого ? лишь верхушка огромного айсберга. И это только усиливается в свете резонансной полтавской бойне. Подозреваемый в наводке ? лейтенант ВСУ, имя не разглашается, арестован. Утверждает, что слил точку и время удара ВС РФ, чтобы отомстить сослуживцам, передал координаты через мессенджер.;0;Pos1;Неарестович;1elegram;Russian;15;0;h11ps://1.me/neares1ovich_official/2764;;;;;;;;;;;;;
6;12.09.2024;15:07;Хохляцкий националист Дмитрий Корчинский (тот самый, что предлагает запретить выезд детей из страны 404) в 2016-м продавал курс ?Казацкая сексуальная мощь?. Обещал научить соблазнять любую хохлушку с помощью ?техник настоящих казаков?. Инфоцыган знает, что и когда впаривать!;0;Pos1;Кот Костян - официальный канал;1elegram;Russian;6000;20;h11ps://1.me/ko1real/35132;;;;;;;;;;;;;
7;13.09.2024;12:50;ВСУ снимают личный состав с других направлений для переброски в Курскую область;0;Pos1;Донбасс решает;1elegram;Russian;75;0;h11ps://1.me/donbassr/73282;;;;;;;;;;;;;
8;12.09.2024;20:18;Продвижение ВС РФ возле Часов Яра;0;Pos1;Асфальт;1elegram;Russian;0;0;h11ps://1.me/asphal11/78027;;;;;;;;;;;;;
9;13.09.2024;12:15;Кулеба лишился должности из-за того, что ?раздражал? главу ОП Ермака, который хотел большего контроля над МИД;0;Pos1;Шептун????Украина Война;1elegram;Russian;55;0;h11ps://1.me/shep1oon/38255;;;;;;;;;;;;;
10;13.09.2024;15:55;Потери ВСУ за неделю составили не менее 16960 военнослужащих;0;Pos1;Донбасс решает;1elegram;Russian;50;0;h11ps://1.me/donbassr/73292;;;;;;;;;;;;;
11;12.09.2024;10:35;В данный момент желание защищать Украину нулевое. Об этом заявил глав МИДа Польши Сикорский, который думал, что говорит с Порошенко. Однако это были российские пранкеры.;0;Pos1;Шептун????Украина Война;1elegram;Russian;90;0;h11ps://1.me/shep1oon/38228;;;;;;;;;;;;;
12;06.09.2024;15:34;В украинских вооружённых формированиях всё чаще встречаются иностранные наёмники и реже сами украинцы;0;Pos1;Владимир Сальдо;1elegram;Russian;150;0;h11ps://1.me/SALDO_VGA/4179;;;;;;;;;;;;;
13;12.09.2024;13:04;Половина жителей, покинувших украинушку, сбежала в кровавый Мордор. Странно (нет);0;Pos1;Кот Костян - официальный канал;1elegram;Russian;4500;0;h11ps://1.me/ko1real/35130;;;;;;;;;;;;;
14;12.09.2024;14:17;Украинские нацисты устроили массированный варварский обстрел Новой Каховки. Под удар попал Центральный рынок - зафиксировано не менее 11 прилётов. Один мирный житель погиб, восемь человек (из них шестеро женщин, двое мужчин) получили ранения. Сгорел автомобиль.;0;Pos1;Владимир Сальдо;1elegram;Russian;300;0;h11ps://1.me/SALDO_VGA/4220;;;;;;;;;;;;;
15;10.09.2024;20:07;Шмыгаль признался, что власть потратила многомиллиардные бюджеты, предназначенные для защиты подстанций от ударов, впустую.;0;Pos1;Шептун????Украина Война;1elegram;Russian;90;0;h11ps://1.me/shep1oon/38194;;;;;;;;;;;;;
